Name,Active?,Cohort,Created,Date,Description,Integrations,Prize,Submission Type,Tags
Vortex Protocol,,UHI1,"August 27, 2024 8:05 AM",,Mixer using Uniswap V4 Hooks + Legal Compliance,,Uniswap Prize,,CFMM
Degen Options,,UHI1,"August 27, 2024 8:15 AM",,Reward your traders like the good ol' days of DeFi Summer,"Brevis, EigenLayer",Uniswap Prize,,Trading Volume Rewards
RugGuard,,UHI2,"September 14, 2024 11:54 AM",,RugGuard is a revolutionary DeFi security protocol that leverages Uniswap V4 hooks to provide real-time protection against rug pulls in the volatile digital assets market. It combines innovative smart contract technology with community-driven governance to create a safer trading environment for digital assets enthusiasts.,Chainlink,,,"DeFi, Security"
JIT Rebalancer,,UHI2,"September 14, 2024 7:29 PM",,Liquidity rebalancing strategy that automatically adjusts liquidity pools on Dex to ensure optimal efficiency and profitability.,Chainlink,,,"LP Fees, Trading Volume Rewards"
Zeros,,UHI2,"September 15, 2024 2:55 PM",,Generate zero prefix address while swapping.,,,,Trading Volume Rewards
Trail Hook,,UHI2,"September 15, 2024 6:27 PM",,"A trailing order hook, enabling users to buy in or exit capturing the best of directional movements.",,,,"DEX, DeFi, Order Type"
Uniswap Hook Donations,,UHI2,"September 15, 2024 6:48 PM",,Allows the user to swap and donate tokens at the same time!,,,,"DEX, DeFi, Donation"
AntiSnipingHook,,UHI2,"September 15, 2024 7:51 PM",,The AntiSnipingHook is a Uniswap V4 hook designed to enhance the security and fairness of liquidity provision. It prevents MEV sniping attacks by preventing swap fee sniping and donation sniping.,,,,"Donations, LP Fees, MEV"
NFT Gated Pools,,UHI2,"September 15, 2024 8:13 PM",,Exclusive Pools only for the holders of certain NFTs,,,,"Compliance, DEX, DeFi, Governance, KYC, Security, Trading Volume Rewards, delegates"
GeoMean Fixed-Weight Pool,,UHI2,"September 16, 2024 12:26 AM",,The fixed weight pool create a value-weighted liquidity pool of assets. It can give the Liquidity Provider an auto-rebalance portfolio with fixed value-weighted ratio.,,,,"DEX, DeFi, LP Fees"
Sigmoid Directional Fees,,UHI2,"September 16, 2024 12:41 AM",,"Reducing toxic order flow by using dynamic fees based on the price delta between the pool and the global market, calculated with Chainlink.",Chainlink,,,"LP Fees, MEV"
Sandwich Protector Hook,,UHI2,"September 16, 2024 1:46 AM",,Hook which isn't visible for regular traders but prevents sandwichers from profiting out of swappers. Composable with aggregation protocols,,Uniswap Prize,,"DEX, LP Fees, MEV"
Unipay,,UHI2,"September 16, 2024 8:52 AM",,Use Ethereum to stake and get credit card's credit.,,,,"delegates, zk-SNARK"
CrossLink,,UHI2,"September 16, 2024 3:14 PM",,"Dynamic fee calculation using the Nezlobin formula, adjusting swap fees based on market volatility. Featuring a Cross-Chain Limit Order mechanism using Chainlink CCIP, allowing users to redeem executed orders across multiple blockchains, offering both optimized pricing and cross-chain flexibility.",Chainlink,Chainlink Prize,,"DEX, DeFi, LP Fees"
Nezlobin's Directional Fee Hook,,UHI2,"September 16, 2024 3:57 PM",,A hook to adjust pool fee in both direction based on price volatility.,,,,LP Fees
Cross Chain Swaps- CCIP Hook,,UHI2,"September 16, 2024 4:21 PM",,A hook to perform cross chain swaps using CCIP,Chainlink,,,DeFi
Cross Chain Liquidity Operator (CCLO),,UHI2,"September 16, 2024 6:10 PM",,A simple way to add liquidity to Uniswap V4 pools on multiple chains using Uniswap v4 hooks and Chainlink's CCIP.,Chainlink,Chainlink Prize,,"CCIP, Cross-Chain, DEX, DeFi"
Memediction,,UHI2,"September 16, 2024 6:11 PM",,Unlimited Upside Tokenized Prediction Market,,Uniswap Prize,,"DEX, DeFi"
Deterministic Uniswap Hook (Duh!),,UHI2,"September 16, 2024 7:10 PM",,Unlocking Bond Trading in DeFi,,,,"CFMM, DeFi"
